Reading 1 ,Reading 2,Reading 3,Reading 4,Reading 5 ,Average Reading ,Latitudes,Longitudes,Name of Places
0.21,0.23,0.25,0.24,0.25,0.236,1.559997222,103.6392167,Outside Perimeter Point K
0.24,0.23,0.22,0.23,0.2,0.224,1.55975,103.6392083,Outside Perimeter Point J
0.21,0.22,0.23,0.2,0.21,0.214,1.559775,103.6391972,Outside Perimeter Point I
0.19,0.14,0.2,0.17,0.17,0.174,1.559802778,103.6391861,Outside Perimeter Point H
0.16,0.16,0.17,0.19,0.19,0.174,1.559825,103.639175,Outside Perimeter Point G
0.16,0.16,0.13,0.13,0.14,0.144,1.559855556,103.6391639,Outside Perimeter Point F
0.19,0.14,0.13,0.15,0.17,0.156,1.559880556,103.6391556,Outside Perimeter Point E
0.2,0.29,0.22,0.22,0.2,0.226,1.5599,103.6391472,Outside Perimeter Point D
0.15,0.14,0.16,0.15,0.15,0.15,1.559922222,103.6391389,Outside Perimeter Point C
0.22,0.15,0.16,0.19,0.2,0.184,1.559955556,103.6391278,Outside Perimeter Point B
0.18,0.17,0.15,0.2,0.16,0.172,1.559977778,103.6391194,Outside Perimeter Point A
0.19,0.2,0.21,0.18,0.21,0.198,1.559733333,103.6392472,Nuclear Sampling Storage Point A
0.25,0.23,0.24,0.26,0.29,0.254,1.559744444,103.6392778,Nuclear Sampling Storage Point B
0.3,0.31,0.32,0.27,0.29,0.298,1.559752778,103.6393056,Nuclear Sampling Storage Point C
0.25,0.26,0.25,0.25,0.28,0.258,1.559766667,103.63925,Inside Door Space Point D
0.28,0.29,0.26,0.25,0.24,0.264,1.559780556,103.6392972,Furnace TLD Room Point C
0.22,0.23,0.2,0.2,0.22,0.214,1.559788889,103.6392278,Staff Room Point B 
0.25,0.26,0.25,0.24,0.23,0.246,1.5598,103.6392583,Furnace TLD Room Point A
0.22,0.23,0.25,0.27,0.26,0.246,1.559805556,103.6392861,Furnace TLD Room Point B
0.24,0.25,0.24,0.28,0.26,0.254,1.559816667,103.6392194,Staff Room Point A
0.1,0.13,0.14,0.16,0.19,0.144,1.559825,103.6392472,Neutron Storage Room Point A
0.23,0.22,0.19,0.18,0.16,0.196,1.559833333,103.639275,Neutron Storage Room Point B
0.26,0.14,0.15,0.14,0.16,0.17,1.559841667,103.6392083,Inside Door Space Point C
0.23,0.19,0.2,0.17,0.19,0.196,1.559866667,103.6391972,Profesional X-ray Machine Room
0.25,0.23,0.19,0.22,0.23,0.224,1.559875,103.6392278,Middle Point D 
0.22,0.21,0.25,0.26,0.27,0.242,1.559891667,103.6392444,Radioactive Source Room Point A
0.28,0.27,0.28,0.25,0.27,0.27,1.559883333,103.6392528,Radioactive Source Room Point B
0.31,0.32,0.34,0.26,0.35,0.316,1.559875,103.6392472,Radioactive Source Room Point C
0.14,0.13,0.15,0.14,0.12,0.136,1.559913889,103.6391694,Staff Work Space 
0.2,0.23,0.2,0.17,0.14,0.188,1.559925,103.6392056,Middle Point C
0.19,0.24,0.34,0.18,0.21,0.232,1.559936111,103.6392333,Gamma Spectroscopy Room Point B
0.21,0.2,0.2,0.2,0.2,0.202,1.559952778,103.639225,Gamma Spectroscopy Room Point A
0.21,0.22,0.21,0.22,0.21,0.214,1.559944444,103.6391972,Middle Point B
0.16,0.19,0.2,0.22,0.2,0.194,1.559933333,103.6391639,Student Work Space
0.17,0.19,0.18,0.22,0.2,0.192,1.559963889,103.6391556,Geiger Muller Counting Space Point A
0.23,0.21,0.2,0.22,0.2,0.212,1.559969444,103.6391889,Middle Point A
0.17,0.16,0.2,0.19,0.18,0.18,1.559963889,103.6391556,Geiger Muller Counting Space Point B
0.2,0.19,0.18,0.17,0.16,0.18,1.559994444,103.6391528,Preparation Room
0.17,0.13,0.14,0.14,0.17,0.15,1.560013889,103.6392056,Furnace Room
0.17,0.16,0.13,0.18,0.13,0.154,1.559894444,103.6391833,Blank Point 
