lat,lon,dose
4.305797,103.470854,0.124
4.30579,103.470868,0.133
4.30578,103.470896,0.14
4.305772,103.470923,0.156
4.305763,103.470957,0.161
4.305797,103.47079,0.107
4.305768,103.470876,0.106
4.30574,103.470951,0.116
4.305735,103.470973,0.112
4.305807,103.470974,0.131
4.305792,103.470989,0.12
4.305827,103.47098,0.118
4.305809,103.471003,0.113
4.305836,103.470998,0.106
4.305845,103.470917,0.131
4.305865,103.470925,0.114
4.305885,103.470821,0.102
4.305903,103.470829,0.104
4.305878,103.470825,0.111
4.305887,103.4708,0.108
4.305852,103.470811,0.144
4.305866,103.470795,0.107
4.305832,103.470802,0.17
4.305817,103.470776,0.103
4.305819,103.470815,0.186
4.305866,103.470833,0.177
4.305855,103.470888,0.159
4.305805,103.470862,0.173
4.305824,103.470848,0.501
