lat,lon,dose
4.305698,103.471024,0.112
4.305774,103.471019,0.12
4.305824,103.471034,0.113
4.305699,103.47097,0.116
4.305717,103.470982,0.161
4.305775,103.470985,0.131
4.305827,103.471006,0.118
4.305857,103.471011,0.106
4.305727,103.470933,0.156
4.305846,103.470842,0.173
4.305784,103.470834,0.186
4.305718,103.47088,0.106
4.305748,103.470882,0.14
4.305797,103.470853,0.501
4.305844,103.470911,0.131
4.305883,103.470925,0.114
4.305762,103.470829,0.133
4.305837,103.470896,0.159
4.305773,103.470877,0.177
4.305751,103.470798,0.107
4.305772,103.470803,0.124
4.305805,103.470812,0.17
4.305829,103.47082,0.144
4.30585,103.470823,0.111
4.305879,103.470829,0.102
4.305901,103.470851,0.104
4.305782,103.470768,0.103
4.305841,103.470783,0.107
4.305894,103.47081,0.108
