lat,lon,dose,places,doserate
2.8970793,101.7544662,0.28,A1,0.000028
2.8968684,101.7545138,0.19,A2,0.000019
2.8970529,101.7545386,0.25,A3,0.000025
2.8972427,101.7544984,0.27,A4,0.000027
2.8972551,101.7542982,0.3,A5,0.00003
2.8974065,101.7542268,0.33,A6,0.000033
2.8976312,101.7542305,0.29,A7,0.000029
2.89795,101.754386,0.245,A8,0.0000245
2.898008,101.754563,0.268,A9,0.0000268
2.898047,101.754728,0.333,A10,0.0000333
2.8977879,101.7542965,0.25,A11,0.000025
2.8979734,101.754317,0.3,A12,0.00003
2.8980942,101.7544508,0.32,A13,0.000032
2.8981542,101.7546435,0.29,A14,0.000029
2.8982114,101.7548487,0.3,A15,0.00003
2.8980423,101.7549178,0.29,A16,0.000029
2.8979061,101.7550512,0.28,A17,0.000028
2.8977417,101.7551414,0.3,A18,0.00003
2.8977805,101.7549644,0.31,A19,0.000031
2.8977413,101.7548427,0.2,A20,0.00002
2.8975417,101.7552708,0.28,A21,0.000028
2.8973981,101.7553875,0.25,A22,0.000025
2.8972518,101.7554378,0.22,A23,0.000022
2.8973636,101.7551113,0.35,A24,0.000035
2.897238,101.755064,0.28,A25,0.000028
2.897072,101.7551485,0.3,A26,0.00003
2.8972323,101.7551525,0.3,A27,0.00003
2.8969648,101.7549205,0.1,A28,0.00001
2.8969273,101.7547753,0.35,A29,0.000035
2.8970914,101.7547609,0.25,A30,0.000025
2.8971322,101.7549077,0.25,A31,0.000025
2.8972528,101.7547562,0.15,A32,0.000015
2.8973502,101.7547394,0.22,A33,0.000022
2.8973951,101.7549386,0.35,A34,0.000035
2.8967073,101.7543767,0.29,A35,0.000029
2.8966393,101.7545916,0.31,A36,0.000031
2.8966922,101.7547512,0.24,A37,0.000024
2.8967438,101.7548789,0.15,A38,0.000015
2.8968349,101.7549299,0.18,A39,0.000018
2.8967709,101.7541953,0.3,A40,0.00003
2.8969477,101.7541882,0.28,A41,0.000028
2.8971188,101.7542147,0.19,A42,0.000019
2.8965596,101.7542694,0.29,A43,0.000029
2.896419,101.7541658,0.17,A44,0.000017
2.896266,101.754029,0.26,A45,0.000026
2.8964347,101.7539056,0.23,A46,0.000023
2.89663,101.7538781,0.25,A47,0.000025
2.8966799,101.7537423,0.15,A48,0.000015
2.8965556,101.7536307,0.22,A49,0.000022
2.8964224,101.7535006,0.19,A50,0.000019
2.8964049,101.7532867,0.1,A51,0.00001
2.8963919,101.753117,0.15,A52,0.000015
2.8961565,101.7530339,0.21,A53,0.000021
2.8960004,101.7530476,0.21,A54,0.000021
2.8958417,101.753176,0.13,A55,0.000013
2.8958628,101.7533333,0.31,A56,0.000031
2.8958591,101.7535291,0.3,A57,0.00003
2.8959901,101.7536444,0.3,A58,0.00003
2.8961334,101.7537604,0.35,A59,0.000035
2.8963025,101.7538516,0.1,A60,0.00001
2.8962586,101.7536629,0.22,A61,0.000022
2.8961977,101.7534506,0.15,A62,0.000015
2.8956894,101.7534946,0.3,A63,0.00003
2.895539,101.7535244,0.29,A64,0.000029
2.8952953,101.7535599,0.29,A65,0.000029
2.8954433,101.7533534,0.3,A66,0.00003
2.89686,101.7538962,0.32,A67,0.000032
2.8970244,101.753912,0.3,A68,0.00003
2.8972481,101.7539113,0.42,A69,0.000042
2.8974436,101.7538754,0.39,A70,0.000039
2.8975166,101.7537457,0.38,A71,0.000038
2.8974912,101.7535482,0.35,A72,0.000035
2.8973077,101.7535841,0.35,A73,0.000035
2.8970395,101.7536028,0.42,A74,0.000042
2.8969434,101.7536397,0.28,A75,0.000028
